id,first_name,middle_name,last_name,birth_date,marital_status,sex,email,salary,total_children,number_children_at_home,education,occupation,house_owner_flag,number_of_cars_owned,address,phone,date_first_purchase,commute_distance
11000,Jon,V,Yang,1979-05-14,M,M,jon24@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,1 (11) 500 555-0162,2018-08-27,1-2 Miles
11001,Eugene,L,Huang,1983-12-17,S,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Professional,0,1,2243 W St.,1 (11) 500 555-0110,2018-08-23,0-1 Miles
11002,Ruben,,Torres,1978-09-17,M,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,1 (11) 500 555-0184,2018-08-15,2-5 Miles
11003,Christy,,Zhu,1981-03-22,S,F,christy12@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,1 (11) 500 555-0162,2018-08-06,5-10 Miles
11004,Elizabeth,,Johnson,1987-03-13,S,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,1 (11) 500 555-0131,2018-08-31,1-2 Miles
11005,Julio,,Ruiz,1984-03-09,S,M,julio1@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,1 (11) 500 555-0151,2018-08-07,5-10 Miles
11006,Janet,G,Alvarez,1984-07-10,S,F,janet9@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,1 (11) 500 555-0184,2018-09-01,5-10 Miles
11007,Marco,,Mehta,1977-06-14,M,M,marco14@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,1 (11) 500 555-0126,2018-08-17,0-1 Miles
11008,Rob,,Verhoff,1983-02-09,S,F,rob4@adventure-works.com,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,1 (11) 500 555-0164,2018-09-02,10+ Miles
11009,Shannon,C,Carlson,1977-05-07,S,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,1 (11) 500 555-0110,2018-09-04,5-10 Miles
11010,Jacquelyn,C,Suarez,1977-03-13,S,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,1 (11) 500 555-0169,2018-08-22,5-10 Miles
11011,Curtis,,Lu,1976-12-09,M,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,1 (11) 500 555-0117,2018-08-07,10+ Miles
11012,Lauren,M,Walker,1986-08-22,M,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,717-555-0164,2020-10-22,1-2 Miles
11013,Ian,M,Jenkins,1987-03-11,M,M,ian47@adventure-works.com,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,817-555-0185,2020-11-19,0-1 Miles
11014,Sydney,,Bennett,1981-06-14,S,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,431-555-0156,2020-10-29,1-2 Miles
11015,Chloe,,Young,1992-04-03,S,F,chloe23@adventure-works.com,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,208-555-0142,2020-08-26,5-10 Miles
11016,Wyatt,L,Hill,1992-06-02,M,M,wyatt32@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,135-555-0171,2020-09-17,5-10 Miles
11017,Shannon,,Wang,1957-08-01,S,F,shannon1@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,1 (11) 500 555-0195,2018-08-20,5-10 Miles
11018,Clarence,D,Rai,1963-05-14,S,M,clarence32@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,1 (11) 500 555-0137,2018-08-25,5-10 Miles
11019,Luke,L,Lal,1991-04-12,S,M,luke18@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,262-555-0112,2020-09-20,5-10 Miles
11020,Jordan,C,King,1991-10-26,S,M,jordan73@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,550-555-0163,2020-08-06,1-2 Miles
11021,Destiny,,Wilson,1991-10-09,S,F,destiny7@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,622-555-0158,2020-08-31,1-2 Miles
11022,Ethan,G,Zhang,1991-11-17,M,M,ethan20@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,589-555-0185,2020-08-28,5-10 Miles
11023,Seth,M,Edwards,1991-11-16,M,M,seth46@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,452-555-0188,2020-09-25,1-2 Miles
11024,Russell,,Xie,1991-10-23,M,M,russell7@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,746-555-0186,2021-02-02,5-10 Miles
11025,Alejandro,,Beck,1959-01-28,M,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,1 (11) 500 555-0178,2018-08-14,1-2 Miles
11026,Harold,,Sai,1959-05-09,S,M,harold3@adventure-works.com,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,1 (11) 500 555-0131,2018-08-31,1-2 Miles
11027,Jessie,R,Zhao,1960-01-12,M,M,jessie16@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,1 (11) 500 555-0184,2018-08-24,5-10 Miles
11028,Jill,,Jimenez,1959-05-17,M,F,jill13@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,1 (11) 500 555-0116,2018-09-03,1-2 Miles
11029,Jimmy,L,Moreno,1960-01-26,M,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,1 (11) 500 555-0146,2018-08-27,1-2 Miles
11030,Bethany,G,Yuan,1965-09-26,M,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,1 (11) 500 555-0182,2018-09-13,1-2 Miles
11031,Theresa,G,Ramos,1960-09-26,M,F,theresa13@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,1 (11) 500 555-0195,2018-09-09,1-2 Miles
11032,Denise,,Stone,1960-07-16,M,F,denise10@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,1 (11) 500 555-0169,2018-09-26,1-2 Miles
11033,Jaime,,Nath,1966-04-27,M,M,jaime41@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,1 (11) 500 555-0137,2018-09-23,5-10 Miles
11034,Ebony,,Gonzalez,1960-07-24,M,F,ebony19@adventure-works.com,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,1 (11) 500 555-0136,2018-09-09,5-10 Miles
11035,Wendy,,Dominguez,1961-03-31,M,F,wendy12@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,1 (11) 500 555-0177,2018-09-14,1-2 Miles
11036,Jennifer,C,Russell,1992-01-23,M,F,jennifer93@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,115-555-0183,2020-08-30,1-2 Miles
11037,Chloe,M,Garcia,1991-01-02,S,F,chloe27@adventure-works.com,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,229-555-0112,2020-08-28,5-10 Miles
11038,Diana,F,Hernandez,1961-04-28,M,F,diana2@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,1 (11) 500 555-0114,2018-09-15,5-10 Miles
11039,Marc,J,Martin,1962-01-22,M,M,marc3@adventure-works.com,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,1 (11) 500 555-0183,2018-09-15,5-10 Miles
11040,Jesse,,Murphy,1990-09-06,M,M,jesse15@adventure-works.com,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,961-555-0176,2020-11-09,1-2 Miles
11041,Amanda,M,Carter,1990-11-21,M,F,amanda53@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,295-555-0145,2020-08-22,1-2 Miles
11042,Megan,J,Sanchez,1990-07-19,M,F,megan28@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,404-555-0199,2020-08-29,0-1 Miles
11043,Nathan,M,Simmons,1989-03-31,M,M,nathan11@adventure-works.com,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,296-555-0181,2020-12-14,5-10 Miles
11044,Adam,L,Flores,1962-06-29,M,M,adam10@adventure-works.com,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,1 (11) 500 555-0163,2018-10-06,1-2 Miles
11045,Leonard,G,Nara,1963-06-24,S,M,leonard18@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,1 (11) 500 555-0151,2020-11-16,1-2 Miles
11046,Christine,,Yuan,1963-04-27,M,F,christine4@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,2356 Orange St,1 (11) 500 555-0113,2018-09-14,5-10 Miles
11047,Jaclyn,D,Lu,1963-04-04,M,F,jaclyn12@adventure-works.com,30000,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,1 (11) 500 555-0137,2018-09-11,1-2 Miles
11048,Jeremy,,Powell,1963-12-28,M,M,jeremy26@adventure-works.com,30000,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,1 (11) 500 555-0183,2018-09-18,5-10 Miles
